INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Valor total, Dias permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Jul/2024
Procedimento AIH aprovadas Valor total Dias permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)

Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
Consulte o site da Secretaria Estadual de Saúde para mais informações.
  TOTAL 909 1.099.788,96 3.491 11 1,21
0303010010 TRATAMENTO DE DENGUE CLASSICA 1 319,76 4 - -
0303010029 TRATAMENTO DE DENGUE HEMORRAGICA 1 608,32 14 - -
0303010037 TRATAMENTO DE OUTRAS DOENCAS BACTERIANAS 2 21.419,36 38 1 50,00
0303010061 TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS 2 705,80 7 - -
0303010126 TRATAMENTO DE INFECCOES DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL (A50 A A64) 10 29.092,35 130 1 10,00
0303030020 TRATAMENTO DE DESNUTRICAO 1 3.059,35 3 1 100,00
0303030038 TRATAMENTO DE DIABETES MELLITUS 4 16.808,12 74 - -
0303030046 TRATAMENTO DE DISTURBIOS METABOLICOS 1 147,42 1 - -
0303040149 TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO) 4 14.022,13 44 - -
0303060107 TRATAMENTO DE CRISE HIPERTENSIVA 3 907,17 11 - -
0303060190 TRATAMENTO DE INFARTO AGUDO DO MIOCARDIO 2 6.400,57 6 - -
0303060204 TRATAMENTO DE INSUFICIENCIA ARTERIAL C/ ISQUEMIA CRITICA 1 13.529,65 27 - -
0303060212 TRATAMENTO DE INSUFICIENCIA CARDIACA 11 30.725,53 127 - -
0303060263 TRATAMENTO DE PE DIABETICO COMPLICADO 1 843,99 17 - -
0303060271 TRATAMENTO DE PERICARDITE 1 1.844,85 29 - -
0303060280 TRATAMENTO DE SINDROME CORONARIANA AGUDA 1 381,08 7 - -
0303060298 TRATAMENTO DE TROMBOSE VENOSA PROFUNDA 1 430,34 5 - -
0303070064 TRATAMENTO DE DOENCAS DO ESOFAGO ESTOMAGO E DUODENO 2 7.869,42 17 - -
0303070072 TRATAMENTO DE DOENCAS DO FIGADO 3 2.373,33 29 1 33,33
0303070099 TRATAMENTO DE ENTERITES E COLITES NAO INFECCIOSAS 1 405,59 6 - -
0303070102 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO 4 18.378,92 51 - -
0303070129 TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E PANCREAS 1 1.003,65 12 - -
0303100010 TRATAMENTO DE COMPLICACOES RELACIONADAS PREDOMINANTEMENTE AO PUERPERIO 12 5.899,75 57 - -
0303100044 TRATAMENTO DE INTERCORRENCIAS CLINICAS NA GRAVIDEZ 65 12.550,82 248 - -
0303140046 TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES 5 3.442,01 30 - -
0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO 6 68.358,12 112 1 16,67
0303140143 TRATAMENTO DE OUTRAS INFECCOES AGUDAS DAS VIAS AEREAS INFERIORES 2 675,33 15 - -
0303140151 TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE) 13 15.466,13 119 - -
0303150025 TRATAMENTO DE DOENCAS GLOMERULARES 1 648,29 10 - -
0303150033 TRATAMENTO DE DOENCAS INFLAMATORIAS DOS ORGAOS PELVICOS FEMININOS 1 223,01 5 - -
0303150050 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO URINARIO 2 459,71 6 - -
0303160039 TRATAMENTO DE OUTROS TRANSTORNOS ORIGINADOS NO PERIODO PERINATAL 16 7.744,79 87 - -
0303160047 TRATAMENTO DE TRANSTORNOS HEMORRAGICOS E HEMATOLOGICOS DO FETO E DO RECEM-NASCIDO 37 10.817,98 144 - -
0303160055 TRATAMENTO DE TRANSTORNOS RELACIONADOS C/ A DURACAO DA GESTACAO E C/ O CRESCIMENTO FETAL 23 177.326,06 371 1 4,35
0303160063 TRATAMENTO DE TRANSTORNOS RESPIRATORIOS E CARDIOVASCULARES ESPECIFICOS DO PERIODO NEONATAL 9 99.656,76 145 3 33,33
0305020013 TRATAMENTO DA PIELONEFRITE 1 302,51 5 - -
0305020021 TRATAMENTO DE CALCULOSE RENAL 1 539,40 14 - -
0308040015 TRATAMENTO DE COMPLICACOES DE PROCEDIMENTOS CIRURGICOS OU CLINICOS 9 12.096,61 36 - -
0310010039 PARTO NORMAL 256 146.305,77 433 - -
